,isConversationControlled,isPinned,isQuote,isReply,isRetweet,lang,likeCount,media/0,media/1,possiblySensitive,replyCount,quoteCount,retweetCount,source,type,viewCount,target
0,0,0,0,0,0,16,691.0,1,1,0,132.0,10.0,273.0,16,1,10952.0,0
1,0,0,0,0,0,16,843.0,1,1,0,47.0,10.0,441.0,16,1,21661.0,0
2,0,0,0,0,0,16,1275.0,1,1,0,284.0,18.0,584.0,16,1,33611.0,0
3,0,0,0,0,0,16,3052.0,1,0,0,191.0,17.0,1550.0,16,1,34770.0,0
4,0,0,0,0,0,16,149.0,1,0,0,3.0,1.0,41.0,16,1,1972.0,0
5,0,0,0,0,0,16,1100.0,1,0,0,11.0,4.0,383.0,16,1,14271.0,0
6,0,0,0,0,0,16,500.0,1,0,0,11.0,1.0,187.0,16,1,4159.0,0
7,0,0,0,0,0,16,2482.0,1,1,0,27.0,2.0,230.0,16,1,19455.0,0
8,0,0,0,0,0,16,946.0,0,0,0,9.0,3.0,322.0,16,1,9267.0,0
9,0,0,0,0,0,16,229.0,1,0,0,1.0,0.0,76.0,16,1,2576.0,0
10,0,0,0,0,0,16,163.0,1,0,0,2.0,0.0,40.0,16,1,2292.0,0
11,0,0,0,0,1,8,361.0,0,0,0,7.0,7.0,167.0,16,1,46849.0,0
12,0,0,0,0,0,16,1979.0,1,0,0,17.0,8.0,851.0,16,1,63876.0,0
13,0,0,0,0,0,16,859.0,1,0,0,12.0,3.0,387.0,16,1,7133.0,0
14,0,0,0,0,0,16,3558.0,1,0,0,224.0,50.0,2024.0,16,1,76604.0,0
15,0,0,0,0,0,16,1988.0,1,1,0,73.0,36.0,1824.0,16,1,25232.0,0
16,0,0,0,0,0,16,1498.0,0,0,0,102.0,4.0,227.0,16,1,22300.0,0
17,0,0,0,0,0,16,4357.0,1,0,0,259.0,23.0,1685.0,16,1,136688.0,0
18,0,0,1,0,0,16,1055.0,0,0,0,45.0,9.0,572.0,16,1,11992.0,0
19,0,0,0,0,0,16,2618.0,1,0,0,13.0,3.0,826.0,16,1,12571.0,0
20,0,0,0,0,0,8,2198.0,1,0,0,158.0,30.0,684.0,16,1,51088.0,0
21,0,0,0,0,1,8,2305.0,0,0,0,253.0,169.0,905.0,16,1,185966.0,0
22,0,0,0,0,0,8,1704.0,1,0,0,138.0,7.0,355.0,16,1,28003.0,0
23,0,0,1,0,0,8,1524.0,0,0,0,139.0,18.0,245.0,16,1,47684.0,0
24,0,0,0,0,0,8,972.0,1,0,0,96.0,13.0,270.0,16,1,38849.0,0
25,0,0,0,0,0,8,466.0,1,0,0,183.0,18.0,209.0,16,1,15425.0,0
26,0,0,0,0,1,8,1562.0,0,0,0,668.0,119.0,205.0,16,1,97906.0,0
27,0,0,0,0,0,8,1562.0,0,0,0,668.0,119.0,205.0,16,1,97906.0,0
28,0,0,0,0,1,8,29791.0,1,0,0,177.0,71.0,5727.0,16,1,465524.0,0
29,0,0,0,0,0,8,1105.0,0,0,0,217.0,25.0,287.0,16,1,28527.0,0
30,0,0,0,0,1,8,7549.0,0,0,0,757.0,88.0,1960.0,16,1,263001.0,0
31,0,0,0,0,0,8,2076.0,1,0,0,298.0,33.0,533.0,16,1,53350.0,0
32,0,0,1,0,0,8,230.0,0,0,0,98.0,10.0,54.0,16,1,17434.0,0
33,0,0,0,0,0,8,104.0,0,0,0,22.0,1.0,28.0,16,1,7408.0,0
34,0,0,0,0,1,8,8.0,0,0,0,1.0,0.0,5.0,16,1,419.0,0
35,0,0,0,0,1,8,28.0,0,0,0,0.0,0.0,12.0,16,1,1027.0,0
36,0,0,0,0,0,8,63.0,1,0,0,2.0,1.0,29.0,16,1,2318.0,0
37,0,0,0,0,0,8,15.0,1,0,0,1.0,0.0,12.0,16,1,727.0,0
38,0,0,0,0,0,8,594.0,1,0,0,7.0,3.0,189.0,16,1,7490.0,0
39,0,0,0,0,1,8,19.0,0,0,0,0.0,0.0,22.0,16,1,804.0,0
40,0,0,0,0,0,8,116.0,1,0,0,3.0,1.0,60.0,16,1,2445.0,0
41,0,0,0,0,0,8,112.0,0,0,0,3.0,0.0,11.0,16,1,3460.0,0
42,0,0,0,0,0,8,96.0,0,0,0,1.0,0.0,38.0,16,1,2921.0,0
43,0,0,0,0,1,8,166.0,0,0,0,10.0,0.0,62.0,16,1,4182.0,0
44,0,0,0,0,0,8,94.0,1,0,0,4.0,0.0,14.0,16,1,1776.0,0
45,0,0,0,0,0,8,3.0,1,0,0,1.0,1.0,1.0,16,1,361.0,0
46,0,0,0,0,1,8,60.0,0,0,0,0.0,2.0,31.0,16,1,5501.0,0
47,0,0,0,0,0,8,523.0,1,0,0,16.0,3.0,152.0,16,1,8088.0,0
48,0,0,1,0,0,8,1373.0,0,0,0,155.0,12.0,655.0,16,1,28129.0,0
49,0,0,0,0,1,8,68.0,0,0,0,1.0,1.0,42.0,16,1,1843.0,0
50,0,0,0,0,1,8,16.0,0,0,0,0.0,0.0,10.0,16,1,1009.0,0
51,0,0,0,0,0,8,39.0,1,0,0,0.0,0.0,12.0,16,1,818.0,0
52,0,0,0,0,0,8,672.0,1,0,0,13.0,3.0,267.0,16,1,12362.0,0
53,0,0,1,1,0,8,16.0,0,0,0,0.0,0.0,3.0,16,1,946.0,0
54,0,0,1,0,0,16,3577.0,0,0,0,92.0,12.0,438.0,16,1,71305.0,0
55,0,0,0,0,1,8,2798.0,0,0,0,194.0,41.0,948.0,16,1,72486.0,0
56,0,0,1,0,0,16,7750.0,0,0,0,128.0,29.0,2765.0,16,1,91854.0,0
57,0,0,1,0,0,16,13559.0,0,0,0,218.0,30.0,4898.0,16,1,136852.0,0
58,0,0,1,0,0,16,3538.0,0,0,0,233.0,33.0,996.0,16,1,144655.0,0
59,0,0,0,0,0,16,5913.0,1,0,0,200.0,44.0,1848.0,16,1,152954.0,0
60,0,0,0,0,0,16,2291.0,1,1,0,132.0,8.0,468.0,16,1,57687.0,0
61,0,0,1,0,0,16,703.0,0,0,0,31.0,2.0,91.0,16,1,31217.0,0
62,0,0,0,0,1,8,361.0,0,0,0,7.0,3.0,67.0,16,1,26335.0,0
63,0,0,0,0,0,16,4639.0,1,0,0,218.0,28.0,918.0,16,1,104884.0,0
64,0,0,1,0,0,16,2733.0,0,0,0,117.0,6.0,639.0,16,1,111229.0,0
65,0,0,1,0,0,16,3119.0,0,0,0,88.0,7.0,735.0,16,1,126247.0,0
66,0,0,0,0,1,8,1226.0,0,0,0,50.0,14.0,523.0,16,1,85706.0,0
67,0,0,0,0,0,16,18572.0,0,0,0,1360.0,177.0,5365.0,16,1,507552.0,0
68,0,0,0,0,0,16,3132.0,1,0,0,119.0,16.0,1048.0,16,1,71492.0,0
69,0,0,1,0,0,16,6394.0,0,0,0,351.0,61.0,2339.0,16,1,128425.0,0
70,0,0,1,0,0,16,3369.0,0,0,0,64.0,7.0,1032.0,16,1,64771.0,0
71,0,0,1,0,0,16,6073.0,0,0,0,150.0,22.0,2029.0,16,1,113057.0,0
72,0,0,1,0,0,8,46.0,0,0,0,5.0,0.0,6.0,11,1,6180.0,0
73,0,0,0,0,0,8,6995.0,0,0,0,194.0,52.0,681.0,11,1,337056.0,0
74,0,0,0,0,0,45,118.0,1,0,0,45.0,8.0,13.0,16,1,18278.0,0
75,0,0,0,0,0,8,2214.0,0,0,0,263.0,40.0,385.0,16,1,135762.0,0
76,0,0,1,0,0,8,194.0,0,0,0,18.0,1.0,10.0,11,1,21781.0,0
77,0,0,0,0,1,8,6565.0,0,0,0,1949.0,393.0,1114.0,16,1,1057275.0,0
78,0,0,1,0,0,8,1278.0,0,0,0,64.0,8.0,204.0,16,1,52920.0,0
79,0,0,0,0,1,8,79.0,0,0,0,12.0,0.0,8.0,16,1,8759.0,0
80,0,0,0,0,0,8,2599.0,0,0,0,252.0,44.0,370.0,16,1,107677.0,0
81,0,0,1,0,0,8,62.0,0,0,0,10.0,1.0,10.0,11,1,12825.0,0
82,0,0,1,0,0,8,40.0,0,0,0,7.0,0.0,3.0,11,1,10343.0,0
83,0,0,0,0,1,8,8.0,0,0,0,5.0,2.0,1.0,11,1,15255.0,0
84,0,0,1,0,0,8,136.0,0,0,0,10.0,0.0,10.0,16,1,11430.0,0
85,0,0,1,0,0,8,401.0,0,0,0,33.0,3.0,18.0,11,1,17696.0,0
86,0,0,0,0,1,8,47.0,0,0,0,6.0,2.0,9.0,11,1,24264.0,0
87,0,0,0,0,0,8,2067.0,0,0,0,267.0,51.0,289.0,16,1,120809.0,0
88,0,0,0,0,0,8,1298.0,1,0,0,274.0,94.0,224.0,16,1,323779.0,0
89,0,0,0,0,1,8,19.0,0,0,0,2.0,0.0,6.0,11,1,10541.0,0
90,0,0,0,0,1,8,1896.0,0,0,0,77.0,19.0,412.0,16,1,59300.0,0
91,0,0,0,0,1,8,25.0,0,0,0,3.0,0.0,4.0,16,1,8329.0,0
92,0,0,0,0,1,8,5.0,0,0,0,0.0,0.0,4.0,13,1,1535.0,0
93,0,0,0,0,1,8,2.0,0,0,0,0.0,0.0,4.0,13,1,215.0,0
94,0,0,0,0,1,8,4.0,0,0,0,0.0,0.0,4.0,13,1,876.0,0
95,0,0,0,0,1,8,98.0,1,1,0,24.0,0.0,5.0,13,1,528.0,0
96,0,0,0,0,1,8,2.0,0,0,0,2.0,1.0,4.0,13,1,866.0,0
97,0,0,0,0,1,8,2497.0,1,0,0,100.0,22.0,1142.0,13,1,40480.0,0
98,0,0,0,0,1,8,8.0,0,0,0,1.0,0.0,4.0,13,1,933.0,0
99,0,0,0,0,1,8,22.0,0,0,0,2.0,0.0,12.0,13,1,2734.0,0
100,0,0,0,0,1,8,10.0,0,0,0,1.0,0.0,5.0,13,1,3024.0,0
101,0,0,0,0,1,8,28.0,0,0,0,4.0,0.0,16.0,13,1,4484.0,0
102,0,0,0,0,1,8,334.0,0,0,0,85.0,27.0,150.0,13,1,47782.0,0
